"","L4x4","X1_mean","X2_mean","X3_mean","X4_mean"
"48","L-18-2",4.86777777777778,4.89,4.9297619047619,4.94166666666667
"49","L-18-3",4.89479166666667,4.91888888888889,4.97142857142857,4.985
"50","L-18-4",4.87916666666667,4.90833333333333,4.934375,4.97857142857143
"51","L-19-0",5.69761904761905,5.65714285714286,5.63333333333333,5.62666666666667
"52","L-19-1",5.73333333333333,5.65666666666667,5.60833333333334,5.67222222222222
"53","L-19-2",5.75,5.62222222222222,5.56666666666667,5.7
"54","L-19-3",5.77424242424242,5.63939393939394,5.64,5.70416666666667
"55","L-19-4",5.76666666666667,5.68666666666667,5.64333333333333,5.67333333333333
"56","L-2-0",5,4.91428571428571,5,5
"57","L-2-1",5,5,5,5
"58","L-2-2",5,5,5,5
"59","L-2-3",5,5,5,5
"60","L-2-4",5,5,5,5
"61","L-3-0",5,5,5,5
"62","L-3-1",5,5,5,5
"63","L-3-2",5,5,5,5
"64","L-3-3",5,5,5,5
"65","L-3-4",5,5,5,5
"66","L-4-0",5,5,4.99444444444444,4.98958333333333
"67","L-4-1",5,5.06666666666667,5,5
"68","L-4-2",5,4.99375,4.99166666666667,4.98833333333333
"69","L-4-3",5,5,5,5
"70","L-4-4",5,5,5,5
"71","L-5-0",5.25462962962963,5.24305555555556,5.32268518518519,5.43703703703704
"72","L-5-1",5.24791666666667,5.24791666666667,5.83125,5.33333333333333
"73","L-5-2",5.36041666666667,5.22916666666667,5.33229166666667,5.45208333333333
"74","L-5-3",5.225,5.38958333333334,5.359375,5.48854166666667
"75","L-5-4",5.34583333333333,5.353125,5.35,5.553125
"76","L-6-0",5.05757575757576,4.93383838383838,5.13232323232323,5.09102564102564
"77","L-6-1",4.21979166666667,4.02291666666667,4.39111111111111,4.68888888888889
"78","L-6-2",5.27291666666667,5.21904761904762,5.20384615384615,4.86296296296296
"79","L-6-3",4.47916666666667,4.25520833333333,4.38222222222222,4.46666666666667
"80","L-6-4",4.89166666666667,4.83854166666667,4.9797619047619,4.92222222222222
"81","L-7-0",5.05637254901961,4.93578431372549,5.21060606060606,5.094
"82","L-7-1",5.07666666666667,5.24444444444444,4.74880952380952,5.21944444444445
"83","L-7-2",5.30104166666667,5.24895833333333,5.00833333333333,4.68333333333333
"84","L-7-3",5.02333333333333,5.23444444444444,5.20666666666667,5.23461538461538
"85","L-7-4",4.68020833333333,5.16666666666667,5.15222222222222,5.1
"86","L-8-0",3.46047619047619,3.74809523809524,3.71960784313725,4.07222222222222
"87","L-8-1",3.571875,4.00520833333333,4.2547619047619,4.23636363636364
"88","L-8-2",3.69895833333333,3.63777777777778,4.08095238095238,3.50897435897436
"89","L-8-3",3.84166666666667,3.38333333333333,3.978125,3.93333333333333
"90","L-8-4",3.221875,4,3.61333333333333,3.82692307692308
"91","L-9-0",5.36809523809524,4.94238095238095,5.05919540229885,4.68636363636364
"92","L-9-1",5.01547619047619,4.95833333333333,4.37692307692308,5.06481481481482
"93","L-9-2",5.078125,4.76111111111111,5.20119047619048,5.4037037037037
"94","L-9-3",5.26875,5.04375,5.20952380952381,4.86111111111111
"95","L-9-4",5.25,4.99791666666667,4.425,4.365
