"","L2x2","X1_sum","X2_sum","X3_sum","X4_sum"
"262","L-19-8",2,2,2,4
"263","L-19-9",1,0,0,0
"264","L-2-1",0,0,2,1
"265","L-2-10",3,3,2,4
"266","L-2-11",2,4,3,2
"267","L-2-12",0,0,0,0
"268","L-2-13",0,0,0,0
"269","L-2-14",2,3,1,0
"270","L-2-15",2,3,2,3
"271","L-2-16",3,2,2,2
"272","L-2-17",0,0,0,0
"273","L-2-18",0,2,0,2
"274","L-2-19",4,2,3,0
"275","L-2-2",4,5,1,2
"276","L-2-20",1,0,2,0
"277","L-2-21",2,0,2,1
"278","L-2-22",0,0,1,0
"279","L-2-23",2,2,2,0
"280","L-2-24",2,1,2,2
"281","L-2-25",6,3,5,4
"282","L-2-3",3,6,5,4
"283","L-2-4",0,0,1,0
"284","L-2-5",1,1,1,2
"285","L-2-6",0,1,1,3
"286","L-2-7",1,3,3,2
"287","L-2-8",2,1,0,0
"288","L-2-9",1,2,2,2
"289","L-3-1",0,0,0,0
"290","L-3-10",4,4,2,3
"291","L-3-11",1,1,0,0
"292","L-3-12",3,4,5,0
"293","L-3-13",0,0,0,0
"294","L-3-14",2,1,0,1
"295","L-3-15",2,0,0,0
"296","L-3-16",1,2,1,0
"297","L-3-17",2,2,0,0
"298","L-3-18",0,0,0,0
"299","L-3-19",0,2,0,0
"300","L-3-2",0,0,0,0
"301","L-3-20",2,1,1,0
"302","L-3-21",0,0,1,0
"303","L-3-22",0,0,0,1
"304","L-3-23",1,1,0,0
"305","L-3-24",3,4,7,4
"306","L-3-25",5,9,4,1
"307","L-3-3",0,1,1,1
"308","L-3-4",5,3,1,2
"309","L-3-5",1,1,0,0
"310","L-3-6",1,2,0,0
"311","L-3-7",2,1,2,0
"312","L-3-8",4,4,1,4
"313","L-3-9",0,0,0,0
"314","L-4-1",1,1,3,1
"315","L-4-10",1,0,0,0
"316","L-4-11",5,1,3,0
"317","L-4-12",1,3,5,1
"318","L-4-13",2,4,1,1
"319","L-4-14",2,3,4,1
"320","L-4-15",2,2,0,0
"321","L-4-16",1,2,2,0
"322","L-4-17",1,2,2,1
"323","L-4-18",1,2,2,1
"324","L-4-19",1,0,0,0
"325","L-4-2",2,2,2,0
"326","L-4-20",1,1,1,1
"327","L-4-21",1,3,0,1
"328","L-4-22",2,3,1,1
"329","L-4-23",3,2,3,2
