"","SS","1","2","3","4"
"229","BG_11_43",1,0,0,0
"230","BG_11_44",0,0,1,0
"231","BG_11_45",0,1,0,1
"232","BG_11_46",1,1,2,0
"233","BG_11_48",0,0,0,0
"234","BG_11_49",0,0,0,0
"235","BG_11_5",0,0,0,0
"236","BG_11_50",0,0,0,0
"237","BG_11_51",2,1,0,1
"238","BG_11_52",0,1,1,0
"239","BG_11_53",0,0,1,0
"240","BG_11_54",0,0,0,1
"241","BG_11_55",0,0,0,0
"242","BG_11_56",0,0,0,1
"243","BG_11_58",0,0,0,0
"244","BG_11_59",0,0,1,0
"245","BG_11_6",0,0,0,1
"246","BG_11_60",1,0,0,1
"247","BG_11_61",1,0,0,0
"248","BG_11_62",0,1,1,1
"249","BG_11_63",0,0,0,0
"250","BG_11_64",0,1,0,0
"251","BG_11_65",1,0,1,0
"252","BG_11_66",0,1,0,NA
"253","BG_11_67",0,0,0,0
"254","BG_11_68",1,0,0,0
"255","BG_11_69",0,1,0,1
"256","BG_11_7",1,1,1,NA
"257","BG_11_70",1,0,1,NA
"258","BG_11_71",0,0,1,0
"259","BG_11_72",0,0,0,0
"260","BG_11_73",1,1,1,0
"261","BG_11_74",1,0,0,0
"262","BG_11_75",1,1,2,0
"263","BG_11_76",1,0,1,0
"264","BG_11_77",0,0,0,0
"265","BG_11_78",0,0,0,0
"266","BG_11_79",0,0,0,NA
"267","BG_11_8",0,0,0,0
"268","BG_11_80",0,0,0,1
"269","BG_11_81",0,0,0,0
"270","BG_11_82",0,0,1,NA
"271","BG_11_83",0,1,1,0
"272","BG_11_84",0,0,1,0
"273","BG_11_85",1,1,2,2
"274","BG_11_86",2,0,1,0
"275","BG_11_87",0,0,0,0
"276","BG_11_88",0,0,0,0
"277","BG_11_89",0,0,0,0
"278","BG_11_9",0,0,0,0
"279","BG_11_90",0,0,0,1
"280","BG_11_91",0,0,1,0
"281","BG_11_92",0,0,0,0
"282","BG_11_93",1,1,2,1
"283","BG_11_94",1,1,1,NA
"284","BG_11_95",0,1,0,NA
"285","BG_11_96",0,0,1,1
"286","BG_11_97",0,0,2,1
"287","BG_11_98",0,1,0,0
"288","BG_11_99",0,0,1,0
"289","BG_12_1",0,0,0,0
"290","BG_12_10",0,1,1,0
"291","BG_12_100",1,1,0,1
"292","BG_12_11",1,1,2,NA
"293","BG_12_12",1,1,1,NA
"294","BG_12_13",0,1,1,2
"295","BG_12_14",0,1,1,0
"296","BG_12_15",0,0,0,0
"297","BG_12_16",0,0,1,0
"298","BG_12_17",0,0,1,NA
"299","BG_12_18",0,0,0,NA
"300","BG_12_19",1,1,0,NA
"301","BG_12_2",1,0,0,0
"302","BG_12_20",0,0,0,0
"303","BG_12_21",1,0,0,NA
"304","BG_12_22",1,1,0,1
"305","BG_12_23",1,1,1,0
"306","BG_12_24",1,0,0,0
"307","BG_12_25",0,2,1,NA
"308","BG_12_26",0,1,1,0
"309","BG_12_27",1,1,2,NA
"310","BG_12_28",0,0,0,NA
"311","BG_12_29",0,0,0,0
"312","BG_12_3",0,0,0,NA
"313","BG_12_30",0,0,0,NA
"314","BG_12_31",0,0,0,0
"315","BG_12_32",0,0,0,0
"316","BG_12_33",0,0,0,0
"317","BG_12_34",0,0,0,0
"318","BG_12_35",1,1,0,NA
"319","BG_12_36",0,0,1,NA
"320","BG_12_37",0,1,0,NA
"321","BG_12_38",0,0,0,0
"322","BG_12_39",0,0,0,0
"323","BG_12_4",0,0,0,NA
"324","BG_12_40",0,0,0,NA
"325","BG_12_41",0,0,0,0
"326","BG_12_42",0,1,1,0
"327","BG_12_43",0,0,0,0
"328","BG_12_44",0,0,0,1
"329","BG_12_45",0,1,1,0
"330","BG_12_46",1,0,0,0
"331","BG_12_47",0,0,0,0
"332","BG_12_48",0,0,0,0
"333","BG_12_49",0,1,0,0
"334","BG_12_5",0,0,0,NA
"335","BG_12_50",0,0,0,NA
"336","BG_12_51",1,0,0,1
"337","BG_12_52",0,0,0,0
"338","BG_12_53",0,0,1,2
"339","BG_12_54",0,0,0,0
"340","BG_12_55",0,1,0,0
"341","BG_12_56",1,0,0,1
"342","BG_12_57",1,1,0,1
"343","BG_12_58",0,0,0,0
"344","BG_12_59",2,0,NA,NA
"345","BG_12_6",0,0,0,0
"346","BG_12_60",0,0,0,0
"347","BG_12_61",0,0,1,0
"348","BG_12_62",0,0,0,1
"349","BG_12_63",0,0,1,NA
"350","BG_12_64",1,1,0,NA
"351","BG_12_65",1,1,1,NA
"352","BG_12_66",0,0,0,NA
"353","BG_12_67",1,0,0,NA
"354","BG_12_68",1,0,0,1
"355","BG_12_69",0,0,0,NA
"356","BG_12_7",1,0,1,2
"357","BG_12_70",0,0,1,1
"358","BG_12_71",1,1,1,1
"359","BG_12_72",0,2,1,1
"360","BG_12_73",1,1,1,1
"361","BG_12_74",2,2,0,1
"362","BG_12_75",0,0,0,NA
"363","BG_12_76",0,0,0,0
"364","BG_12_77",0,0,0,0
"365","BG_12_78",0,3,0,1
"366","BG_12_79",1,1,0,NA
"367","BG_12_8",1,1,1,1
"368","BG_12_80",0,0,0,1
"369","BG_12_81",0,0,0,0
"370","BG_12_82",1,0,0,0
"371","BG_12_83",0,0,0,1
"372","BG_12_84",0,0,0,NA
"373","BG_12_85",0,1,0,1
"374","BG_12_86",0,1,0,NA
"375","BG_12_87",1,2,2,NA
"376","BG_12_88",0,1,NA,NA
"377","BG_12_89",0,0,0,0
"378","BG_12_9",1,0,0,0
"379","BG_12_90",1,0,1,0
"380","BG_12_91",0,0,NA,NA
"381","BG_12_92",0,1,1,1
"382","BG_12_93",0,0,0,0
"383","BG_12_94",0,0,0,0
"384","BG_12_95",1,0,0,1
"385","BG_12_96",0,1,1,0
"386","BG_12_97",2,1,1,2
"387","BG_12_98",1,0,0,1
"388","BG_12_99",0,0,1,0
"389","BG_13_1",2,2,2,2
"390","BG_13_10",0,0,1,1
"391","BG_13_100",0,1,0,0
"392","BG_13_11",0,0,1,NA
"393","BG_13_12",2,1,1,1
"394","BG_13_13",0,2,1,2
"395","BG_13_14",1,0,1,2
"396","BG_13_15",1,1,1,2
"397","BG_13_16",2,2,2,2
"398","BG_13_17",2,1,2,2
"399","BG_13_18",0,2,1,1
"400","BG_13_19",1,1,1,NA
"401","BG_13_2",1,1,2,0
"402","BG_13_20",1,2,0,2
"403","BG_13_21",0,1,2,0
"404","BG_13_22",2,1,2,1
"405","BG_13_23",3,3,1,1
"406","BG_13_24",0,0,3,1
"407","BG_13_25",2,1,2,2
"408","BG_13_26",1,1,1,1
"409","BG_13_27",1,0,2,2
"410","BG_13_28",1,1,2,2
"411","BG_13_29",1,1,0,NA
"412","BG_13_3",2,1,1,2
"413","BG_13_30",0,0,0,0
"414","BG_13_31",1,0,0,0
"415","BG_13_32",1,2,2,2
"416","BG_13_33",2,2,2,2
"417","BG_13_34",2,2,1,1
"418","BG_13_35",1,0,0,3
"419","BG_13_36",0,1,1,1
"420","BG_13_37",2,1,0,0
"421","BG_13_38",2,0,2,NA
"422","BG_13_4",2,1,2,1
"423","BG_13_40",1,0,0,1
"424","BG_13_41",1,2,0,NA
"425","BG_13_42",2,2,0,NA
"426","BG_13_43",0,2,1,1
"427","BG_13_44",2,1,2,2
"428","BG_13_45",1,0,0,NA
"429","BG_13_46",0,0,1,NA
"430","BG_13_47",1,1,0,1
"431","BG_13_48",0,0,1,0
"432","BG_13_49",0,0,0,0
"433","BG_13_5",1,0,0,0
"434","BG_13_50",0,0,0,0
"435","BG_13_51",1,0,2,NA
"436","BG_13_52",0,0,0,0
"437","BG_13_53",0,1,0,NA
"438","BG_13_54",0,0,0,NA
"439","BG_13_55",0,1,0,1
"440","BG_13_56",0,2,1,2
"441","BG_13_57",1,1,2,1
"442","BG_13_58",0,0,1,0
"443","BG_13_59",1,1,1,NA
"444","BG_13_6",2,0,1,0
"445","BG_13_60",1,1,0,0
"446","BG_13_61",1,1,0,0
"447","BG_13_62",1,0,0,0
"448","BG_13_63",0,0,0,0
"449","BG_13_64",1,0,1,0
"450","BG_13_65",2,1,2,2
"451","BG_13_66",2,1,1,0
"452","BG_13_67",1,2,2,2
"453","BG_13_68",2,2,0,2
"454","BG_13_7",0,1,2,1
"455","BG_13_70",2,1,1,NA
"456","BG_13_71",0,0,0,0
"457","BG_13_72",0,1,0,0
"458","BG_13_73",0,1,0,0
"459","BG_13_74",0,0,0,0
"460","BG_13_75",1,0,0,0
"461","BG_13_76",1,0,2,2
"462","BG_13_77",0,1,1,2
"463","BG_13_78",1,1,0,0
"464","BG_13_79",0,0,1,0
"465","BG_13_8",1,0,1,1
"466","BG_13_80",0,0,0,0
"467","BG_13_81",0,0,0,1
"468","BG_13_82",0,0,0,0
"469","BG_13_83",1,0,0,0
"470","BG_13_84",0,0,0,0
"471","BG_13_85",0,0,1,1
"472","BG_13_86",0,2,0,0
"473","BG_13_87",0,0,2,0
"474","BG_13_88",0,1,1,1
"475","BG_13_89",1,1,1,NA
"476","BG_13_9",0,2,2,2
"477","BG_13_90",0,0,0,0
"478","BG_13_91",2,0,0,1
"479","BG_13_92",1,0,0,0
"480","BG_13_93",1,1,1,NA
"481","BG_13_94",0,0,1,0
"482","BG_13_95",1,0,0,1
"483","BG_13_96",0,1,0,1
"484","BG_13_97",2,2,2,1
"485","BG_13_98",2,2,2,2
"486","BG_13_99",0,2,1,0
"487","BG_14_1",2,1,1,1
"488","BG_14_10",0,1,0,NA
"489","BG_14_100",1,2,1,2
"490","BG_14_11",0,1,1,1
"491","BG_14_12",1,1,1,0
"492","BG_14_13",2,2,2,2
"493","BG_14_14",1,1,1,0
"494","BG_14_15",2,2,1,2
"495","BG_14_16",0,2,1,0
