"","SS","1","2","3","4"
"239","BG_11_53",4.6,4.58333333333333,4.63333333333333,4.71666666666667
"240","BG_11_54",4.58333333333333,4.58333333333333,4.58333333333333,4.78333333333333
"241","BG_11_55",4.6,4.58333333333333,4.6,4.66666666666667
"242","BG_11_56",4.6,4.58333333333333,4.58333333333333,4.65
"243","BG_11_58",4.6,4.58333333333333,4.58333333333333,4.6
"244","BG_11_59",4.6,4.58333333333333,4.58333333333333,4.58333333333333
"245","BG_11_6",4.65,4.7,4.81666666666667,4.83333333333333
"246","BG_11_60",4.6,4.6,4.6,4.58333333333333
"247","BG_11_61",4.81666666666667,4.73333333333333,4.68333333333333,4.63333333333333
"248","BG_11_62",4.81666666666667,4.73333333333333,4.71666666666667,4.68333333333333
"249","BG_11_63",4.81666666666667,4.8,4.73333333333333,4.65
"250","BG_11_64",4.76666666666667,4.73333333333333,4.68333333333333,4.66666666666667
"251","BG_11_65",4.73333333333333,4.68333333333333,4.66666666666667,4.63333333333333
"252","BG_11_66",4.73333333333333,4.66666666666667,4.63333333333333,NA
"253","BG_11_67",4.68333333333333,4.66666666666667,4.61666666666667,4.61666666666667
"254","BG_11_68",4.78333333333333,4.68333333333333,4.66666666666667,4.61666666666667
"255","BG_11_69",4.73333333333333,4.71666666666667,4.7,4.61666666666667
"256","BG_11_7",4.68333333333333,4.76666666666667,4.81666666666667,NA
"257","BG_11_70",4.8,4.78333333333333,4.71666666666667,NA
"258","BG_11_71",4.85,4.73333333333333,4.71666666666667,4.63333333333333
"259","BG_11_72",4.81666666666667,4.68333333333333,4.66666666666667,4.63333333333333
"260","BG_11_73",4.8,4.76666666666667,4.66666666666667,4.61666666666667
"261","BG_11_74",4.78333333333333,4.76666666666667,4.73333333333333,4.68333333333333
"262","BG_11_75",4.81666666666667,4.73333333333333,4.71666666666667,4.68333333333333
"263","BG_11_76",4.76666666666667,4.68333333333333,4.65,4.63333333333333
"264","BG_11_77",4.8,4.71666666666667,4.63333333333333,4.61666666666667
"265","BG_11_78",4.8,4.66666666666667,4.65,4.61666666666667
"266","BG_11_79",4.73333333333333,4.71666666666667,4.66666666666667,NA
"267","BG_11_8",4.66666666666667,4.71666666666667,4.78333333333333,4.81666666666667
"268","BG_11_80",4.78333333333333,4.71666666666667,4.66666666666667,4.61666666666667
"269","BG_11_81",4.76666666666667,4.73333333333333,4.71666666666667,4.63333333333333
"270","BG_11_82",4.85,4.76666666666667,4.66666666666667,NA
"271","BG_11_83",4.81666666666667,4.73333333333333,4.66666666666667,4.65
"272","BG_11_84",4.76666666666667,4.71666666666667,4.68333333333333,4.65
"273","BG_11_85",4.8,4.68333333333333,4.63333333333333,4.61666666666667
"274","BG_11_86",4.81666666666667,4.78333333333333,4.73333333333333,4.66666666666667
"275","BG_11_87",4.76666666666667,4.71666666666667,4.7,4.61666666666667
"276","BG_11_88",4.81666666666667,4.73333333333333,4.71666666666667,4.65
"277","BG_11_89",4.78333333333333,4.71666666666667,4.7,4.61666666666667
"278","BG_11_9",4.6,4.61666666666667,4.65,4.76666666666667
"279","BG_11_90",4.8,4.66666666666667,4.63333333333333,4.61666666666667
"280","BG_11_91",4.8,4.76666666666667,4.63333333333333,4.61666666666667
"281","BG_11_92",4.76666666666667,4.7,4.65,4.63333333333333
"282","BG_11_93",4.76666666666667,4.7,4.66666666666667,4.61666666666667
"283","BG_11_94",4.8,4.78333333333333,4.65,NA
"284","BG_11_95",4.78333333333333,4.66666666666667,4.65,NA
"285","BG_11_96",4.8,4.71666666666667,4.66666666666667,4.61666666666667
"286","BG_11_97",4.8,4.76666666666667,4.73333333333333,4.71666666666667
"287","BG_11_98",4.76666666666667,4.73333333333333,4.7,4.68333333333333
"288","BG_11_99",4.73333333333333,4.7,4.65,4.61666666666667
"289","BG_12_1",5.05,5.05,5.05,5.01666666666667
"290","BG_12_10",5.06666666666667,5.01666666666667,4.93333333333333,4.86666666666667
"291","BG_12_100",5.08333333333333,5,4.93333333333333,4.9
"292","BG_12_11",5,4.95,4.93333333333333,NA
