"","SS","Visits"
"676","BG_2_21",2
"677","BG_2_22",4
"678","BG_2_23",4
"679","BG_2_24",4
"680","BG_2_25",3
"681","BG_2_26",3
"682","BG_2_27",3
"683","BG_2_28",2
"684","BG_2_29",4
"685","BG_2_3",4
"686","BG_2_30",4
"687","BG_2_31",4
"688","BG_2_32",3
"689","BG_2_33",4
"690","BG_2_34",4
"691","BG_2_35",3
"692","BG_2_36",3
"693","BG_2_37",2
"694","BG_2_38",2
"695","BG_2_39",4
"696","BG_2_4",4
"697","BG_2_40",3
"698","BG_2_41",4
"699","BG_2_42",4
"700","BG_2_43",4
"701","BG_2_44",4
"702","BG_2_45",3
"703","BG_2_46",3
"704","BG_2_47",3
"705","BG_2_48",3
"706","BG_2_49",4
"707","BG_2_5",4
"708","BG_2_50",4
"709","BG_2_51",4
"710","BG_2_52",3
"711","BG_2_53",4
"712","BG_2_54",3
"713","BG_2_55",3
"714","BG_2_56",2
"715","BG_2_57",4
"716","BG_2_58",4
"717","BG_2_59",4
"718","BG_2_6",4
"719","BG_2_60",3
"720","BG_2_61",6
"721","BG_2_62",4
"722","BG_2_63",4
"723","BG_2_64",3
"724","BG_2_65",3
"725","BG_2_66",4
"726","BG_2_67",4
"727","BG_2_68",2
"728","BG_2_69",3
"729","BG_2_7",4
"730","BG_2_70",4
"731","BG_2_71",3
"732","BG_2_72",4
"733","BG_2_73",3
"734","BG_2_74",3
"735","BG_2_75",4
"736","BG_2_76",4
"737","BG_2_77",2
"738","BG_2_78",4
"739","BG_2_79",4
"740","BG_2_8",4
"741","BG_2_80",4
"742","BG_2_81",4
"743","BG_2_82",3
"744","BG_2_83",4
"745","BG_2_84",4
"746","BG_2_85",4
"747","BG_2_86",4
"748","BG_2_87",4
"749","BG_2_88",4
"750","BG_2_89",4
"751","BG_2_9",4
"752","BG_2_90",3
"753","BG_2_91",4
"754","BG_2_92",4
"755","BG_2_93",1
"756","BG_2_94",4
"757","BG_2_95",3
"758","BG_2_96",3
"759","BG_2_97",4
"760","BG_2_98",4
"761","BG_2_99",4
"762","BG_3_10",3
"763","BG_3_100",2
"764","BG_3_12",1
"765","BG_3_13",3
"766","BG_3_14",2
"767","BG_3_15",3
"768","BG_3_16",3
"769","BG_3_17",3
"770","BG_3_18",4
"771","BG_3_19",3
"772","BG_3_20",3
"773","BG_3_22",2
"774","BG_3_23",3
"775","BG_3_24",3
"776","BG_3_25",3
"777","BG_3_26",4
"778","BG_3_27",4
"779","BG_3_28",4
"780","BG_3_29",4
"781","BG_3_30",3
"782","BG_3_32",2
"783","BG_3_33",4
"784","BG_3_34",4
"785","BG_3_35",4
"786","BG_3_36",4
"787","BG_3_37",3
"788","BG_3_38",3
"789","BG_3_39",4
"790","BG_3_40",4
"791","BG_3_42",4
"792","BG_3_43",4
"793","BG_3_44",4
"794","BG_3_45",3
"795","BG_3_46",3
"796","BG_3_47",3
"797","BG_3_48",1
"798","BG_3_49",2
"799","BG_3_50",3
"800","BG_3_52",2
"801","BG_3_53",3
"802","BG_3_54",3
"803","BG_3_55",3
"804","BG_3_56",2
"805","BG_3_57",8
"806","BG_3_58",2
"807","BG_3_59",4
"808","BG_3_60",3
"809","BG_3_62",7
"810","BG_3_63",2
"811","BG_3_64",3
"812","BG_3_65",4
"813","BG_3_66",2
"814","BG_3_67",2
"815","BG_3_68",4
"816","BG_3_69",3
"817","BG_3_70",4
"818","BG_3_72",4
"819","BG_3_73",3
"820","BG_3_74",1
"821","BG_3_75",2
"822","BG_3_76",2
"823","BG_3_77",2
"824","BG_3_78",4
"825","BG_3_79",2
"826","BG_3_80",4
"827","BG_3_82",2
"828","BG_3_83",3
"829","BG_3_84",4
"830","BG_3_85",2
"831","BG_3_86",2
"832","BG_3_87",3
"833","BG_3_88",2
"834","BG_3_89",4
"835","BG_3_9",4
"836","BG_3_90",2
"837","BG_3_92",1
"838","BG_3_93",3
"839","BG_3_94",2
"840","BG_3_95",2
"841","BG_3_96",3
"842","BG_3_97",3
"843","BG_3_98",3
"844","BG_3_99",3
"845","BG_4_1",3
"846","BG_4_10",3
"847","BG_4_100",2
"848","BG_4_11",4
"849","BG_4_12",4
"850","BG_4_13",4
"851","BG_4_14",4
"852","BG_4_15",3
"853","BG_4_16",3
"854","BG_4_17",3
"855","BG_4_18",4
"856","BG_4_19",2
"857","BG_4_2",3
"858","BG_4_20",4
"859","BG_4_21",3
"860","BG_4_22",2
"861","BG_4_23",4
"862","BG_4_24",1
"863","BG_4_25",3
"864","BG_4_26",4
"865","BG_4_27",4
"866","BG_4_28",3
"867","BG_4_29",4
"868","BG_4_3",2
"869","BG_4_30",4
"870","BG_4_31",3
"871","BG_4_32",3
"872","BG_4_33",3
"873","BG_4_34",4
"874","BG_4_35",3
"875","BG_4_36",3
"876","BG_4_37",4
"877","BG_4_38",4
"878","BG_4_39",4
"879","BG_4_4",3
"880","BG_4_40",4
"881","BG_4_41",4
"882","BG_4_42",4
"883","BG_4_43",3
"884","BG_4_44",3
"885","BG_4_45",3
"886","BG_4_46",4
"887","BG_4_47",3
"888","BG_4_48",4
"889","BG_4_49",4
"890","BG_4_5",2
"891","BG_4_50",4
"892","BG_4_51",3
"893","BG_4_52",4
"894","BG_4_53",4
"895","BG_4_54",4
"896","BG_4_55",4
"897","BG_4_56",2
"898","BG_4_57",2
"899","BG_4_58",3
"900","BG_4_59",3
"901","BG_4_6",3
"902","BG_4_60",4
"903","BG_4_61",4
"904","BG_4_62",2
"905","BG_4_63",4
"906","BG_4_64",3
"907","BG_4_65",3
"908","BG_4_66",4
"909","BG_4_67",3
"910","BG_4_68",1
"911","BG_4_69",3
"912","BG_4_7",2
"913","BG_4_70",3
"914","BG_4_71",3
"915","BG_4_72",4
"916","BG_4_73",4
"917","BG_4_74",3
"918","BG_4_75",4
"919","BG_4_76",3
"920","BG_4_77",3
"921","BG_4_78",4
"922","BG_4_79",4
"923","BG_4_8",2
"924","BG_4_80",3
"925","BG_4_81",3
"926","BG_4_82",4
"927","BG_4_83",3
"928","BG_4_84",2
"929","BG_4_85",4
"930","BG_4_86",3
"931","BG_4_87",3
"932","BG_4_88",4
"933","BG_4_89",3
"934","BG_4_9",2
"935","BG_4_90",4
"936","BG_4_91",2
"937","BG_4_92",2
"938","BG_4_93",2
"939","BG_4_94",3
"940","BG_4_95",3
"941","BG_4_96",4
"942","BG_4_97",2
"943","BG_4_98",4
