"","location","Year","method","recording_date","transcriber","n"
"4455","BG-2-45",2015,"3m1SPM+7mVS","2015-06-30","Nicole Boucher",1
"4456","BG-2-46",2015,"3m1SPM+7mVS","2015-06-24","Alex MacPhail",1
"4457","BG-2-46",2015,"3m1SPM+7mVS","2015-06-25","Nicole Boucher",1
"4458","BG-2-46",2015,"3m1SPM+7mVS","2015-06-27","Jocelyne Gregoire",1
"4459","BG-2-46",2015,"3m1SPM+7mVS","2015-06-29","Nicole Boucher",1
"4460","BG-2-47",2015,"3m1SPM+7mVS","2015-06-23","Nicole Boucher",1
"4461","BG-2-47",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4462","BG-2-47",2015,"3m1SPM+7mVS","2015-06-25","Jocelyne Gregoire",1
"4463","BG-2-47",2015,"3m1SPM+7mVS","2015-06-29","Natalie Sanchez",1
"4464","BG-2-48",2015,"3m1SPM+7mVS","2015-06-23","Nicole Boucher",1
"4465","BG-2-48",2015,"3m1SPM+7mVS","2015-06-24","Alex MacPhail",1
"4466","BG-2-48",2015,"3m1SPM+7mVS","2015-06-25","Nicole Boucher",1
"4467","BG-2-48",2015,"3m1SPM+7mVS","2015-06-26","Jocelyne Gregoire",1
"4468","BG-2-49",2015,"3m1SPM+7mVS","2015-06-23","Graeme Nordell",1
"4469","BG-2-49",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4470","BG-2-49",2015,"3m1SPM+7mVS","2015-06-25","Nicole Boucher",1
"4471","BG-2-49",2015,"3m1SPM+7mVS","2015-06-26","Nicole Boucher",1
"4472","BG-2-5",2015,"3m1SPM+7mVS","2015-06-21","Nicole Boucher",1
"4473","BG-2-5",2015,"3m1SPM+7mVS","2015-06-22","Nicole Boucher",1
"4474","BG-2-5",2015,"3m1SPM+7mVS","2015-06-26","Graeme Nordell",1
"4475","BG-2-5",2015,"3m1SPM+7mVS","2015-06-30","Nicole Boucher",1
"4476","BG-2-50",2015,"3m1SPM+7mVS","2015-06-22","Natalie Sanchez",1
"4477","BG-2-50",2015,"3m1SPM+7mVS","2015-06-30","Nicole Boucher",1
"4478","BG-2-50",2015,"3m1SPM+7mVS","2015-07-02","Natalie Sanchez",1
"4479","BG-2-50",2015,"3m1SPM+7mVS","2015-07-07","Alex MacPhail",1
"4480","BG-2-51",2015,"3m1SPM+7mVS","2015-06-11","Natalie Sanchez",1
