"","SS","Visits"
"492","BG_14_13",4
"493","BG_14_14",4
"494","BG_14_15",4
"495","BG_14_16",4
"496","BG_14_17",4
"497","BG_14_18",4
"498","BG_14_19",4
"499","BG_14_2",8
"500","BG_14_20",4
"501","BG_14_21",4
"502","BG_14_22",3
"503","BG_14_23",1
"504","BG_14_24",4
"505","BG_14_25",4
"506","BG_14_26",4
"507","BG_14_27",4
"508","BG_14_28",4
"509","BG_14_29",4
"510","BG_14_3",2
"511","BG_14_30",4
"512","BG_14_31",4
"513","BG_14_32",3
"514","BG_14_33",4
"515","BG_14_34",3
"516","BG_14_35",4
"517","BG_14_36",4
"518","BG_14_37",4
"519","BG_14_38",3
"520","BG_14_39",4
"521","BG_14_4",4
"522","BG_14_40",3
"523","BG_14_41",4
"524","BG_14_42",4
"525","BG_14_43",4
"526","BG_14_44",3
"527","BG_14_45",4
"528","BG_14_46",3
"529","BG_14_47",4
"530","BG_14_48",4
"531","BG_14_49",3
"532","BG_14_5",4
"533","BG_14_50",4
"534","BG_14_51",4
"535","BG_14_52",4
"536","BG_14_53",4
"537","BG_14_54",4
"538","BG_14_55",3
"539","BG_14_56",4
"540","BG_14_57",4
"541","BG_14_58",3
"542","BG_14_59",4
"543","BG_14_6",4
"544","BG_14_60",1
"545","BG_14_61",4
"546","BG_14_62",4
"547","BG_14_63",4
"548","BG_14_64",3
"549","BG_14_65",5
"550","BG_14_66",4
"551","BG_14_67",4
"552","BG_14_68",4
"553","BG_14_69",2
"554","BG_14_7",4
"555","BG_14_70",3
"556","BG_14_71",4
"557","BG_14_72",4
"558","BG_14_73",4
"559","BG_14_74",4
"560","BG_14_75",4
"561","BG_14_76",4
"562","BG_14_77",4
"563","BG_14_78",3
"564","BG_14_79",4
"565","BG_14_8",4
"566","BG_14_80",4
"567","BG_14_81",4
"568","BG_14_82",4
"569","BG_14_83",3
"570","BG_14_84",4
"571","BG_14_85",3
"572","BG_14_86",4
"573","BG_14_87",4
"574","BG_14_88",3
"575","BG_14_89",3
"576","BG_14_9",4
"577","BG_14_90",3
"578","BG_14_91",3
"579","BG_14_92",4
"580","BG_14_93",4
"581","BG_14_94",4
"582","BG_14_95",4
"583","BG_14_96",3
"584","BG_14_97",4
"585","BG_14_98",4
"586","BG_14_99",5
"587","BG_15_1",3
"588","BG_15_10",4
"589","BG_15_100",4
"590","BG_15_11",4
"591","BG_15_12",4
"592","BG_15_13",4
"593","BG_15_14",4
"594","BG_15_15",4
"595","BG_15_16",4
"596","BG_15_17",4
"597","BG_15_18",4
"598","BG_15_19",4
"599","BG_15_2",3
"600","BG_15_20",4
"601","BG_15_21",4
"602","BG_15_22",3
"603","BG_15_23",4
"604","BG_15_24",4
"605","BG_15_26",4
"606","BG_15_27",4
"607","BG_15_28",4
"608","BG_15_29",2
"609","BG_15_3",4
"610","BG_15_30",3
"611","BG_15_31",4
"612","BG_15_32",4
"613","BG_15_33",4
"614","BG_15_34",4
"615","BG_15_35",4
"616","BG_15_36",4
"617","BG_15_37",4
"618","BG_15_38",4
"619","BG_15_39",4
"620","BG_15_4",4
"621","BG_15_40",4
"622","BG_15_41",4
"623","BG_15_42",4
"624","BG_15_43",4
"625","BG_15_44",4
"626","BG_15_45",4
"627","BG_15_46",4
"628","BG_15_47",4
"629","BG_15_48",4
"630","BG_15_49",4
"631","BG_15_5",4
"632","BG_15_50",4
"633","BG_15_51",4
"634","BG_15_52",4
"635","BG_15_53",4
"636","BG_15_54",4
"637","BG_15_55",4
"638","BG_15_56",4
"639","BG_15_57",4
"640","BG_15_58",4
"641","BG_15_59",4
"642","BG_15_6",4
"643","BG_15_60",4
"644","BG_15_61",2
"645","BG_15_62",4
"646","BG_15_63",4
"647","BG_15_64",4
"648","BG_15_65",6
"649","BG_15_66",4
"650","BG_15_67",4
"651","BG_15_68",3
"652","BG_15_69",4
"653","BG_15_7",4
"654","BG_15_70",4
"655","BG_15_71",4
"656","BG_15_72",4
"657","BG_15_73",4
"658","BG_15_74",4
"659","BG_15_75",6
"660","BG_15_77",4
"661","BG_15_78",4
"662","BG_15_79",4
"663","BG_15_8",4
"664","BG_15_80",4
"665","BG_15_81",3
"666","BG_15_82",4
"667","BG_15_83",3
"668","BG_15_84",3
"669","BG_15_85",4
"670","BG_15_86",4
"671","BG_15_87",8
"672","BG_15_88",4
"673","BG_15_89",4
"674","BG_15_9",4
"675","BG_15_90",4
"676","BG_15_91",4
"677","BG_15_92",4
"678","BG_15_93",4
"679","BG_15_94",4
"680","BG_15_95",4
"681","BG_15_96",4
"682","BG_15_97",4
"683","BG_15_98",3
"684","BG_15_99",4
"685","BG_16_1",3
"686","BG_16_10",4
"687","BG_16_100",4
"688","BG_16_11",2
"689","BG_16_13",1
"690","BG_16_15",4
"691","BG_16_16",4
"692","BG_16_17",4
"693","BG_16_18",2
"694","BG_16_19",4
"695","BG_16_20",4
"696","BG_16_21",2
"697","BG_16_22",1
"698","BG_16_23",4
"699","BG_16_24",2
"700","BG_16_25",4
"701","BG_16_26",3
"702","BG_16_27",4
"703","BG_16_28",4
"704","BG_16_29",3
"705","BG_16_3",1
"706","BG_16_30",3
"707","BG_16_31",2
"708","BG_16_32",2
"709","BG_16_33",4
"710","BG_16_34",3
"711","BG_16_35",3
"712","BG_16_36",3
"713","BG_16_37",4
"714","BG_16_38",3
"715","BG_16_39",4
"716","BG_16_4",1
"717","BG_16_40",3
"718","BG_16_41",4
"719","BG_16_42",3
"720","BG_16_43",1
"721","BG_16_44",3
"722","BG_16_45",3
"723","BG_16_46",3
"724","BG_16_47",3
"725","BG_16_48",3
"726","BG_16_49",4
"727","BG_16_5",4
"728","BG_16_50",4
"729","BG_16_51",4
"730","BG_16_52",4
"731","BG_16_53",3
"732","BG_16_54",2
"733","BG_16_55",3
"734","BG_16_56",4
"735","BG_16_57",2
"736","BG_16_58",3
"737","BG_16_59",4
"738","BG_16_6",4
"739","BG_16_60",4
"740","BG_16_61",2
"741","BG_16_62",3
"742","BG_16_63",4
"743","BG_16_64",2
"744","BG_16_65",1
"745","BG_16_67",3
"746","BG_16_68",3
"747","BG_16_7",3
"748","BG_16_70",4
"749","BG_16_71",2
"750","BG_16_72",2
"751","BG_16_73",4
"752","BG_16_74",3
"753","BG_16_75",3
"754","BG_16_76",2
"755","BG_16_77",4
"756","BG_16_78",4
"757","BG_16_79",2
"758","BG_16_8",1
"759","BG_16_80",2
"760","BG_16_81",4
"761","BG_16_82",4
"762","BG_16_83",2
"763","BG_16_84",2
"764","BG_16_85",4
"765","BG_16_86",3
"766","BG_16_88",2
"767","BG_16_89",4
"768","BG_16_9",4
"769","BG_16_90",4
"770","BG_16_91",4
"771","BG_16_92",4
"772","BG_16_93",4
"773","BG_16_95",4
"774","BG_16_96",4
"775","BG_16_97",2
"776","BG_16_98",4
"777","BG_17_1",4
"778","BG_17_10",4
"779","BG_17_100",4
"780","BG_17_11",4
"781","BG_17_12",4
"782","BG_17_13",4
"783","BG_17_14",4
"784","BG_17_15",4
"785","BG_17_16",4
"786","BG_17_17",3
"787","BG_17_18",3
"788","BG_17_19",4
"789","BG_17_2",4
"790","BG_17_20",4
"791","BG_17_22",3
"792","BG_17_23",4
"793","BG_17_24",4
"794","BG_17_26",2
"795","BG_17_27",4
"796","BG_17_28",4
"797","BG_17_29",2
"798","BG_17_3",3
"799","BG_17_30",1
"800","BG_17_31",2
"801","BG_17_32",3
"802","BG_17_33",4
"803","BG_17_34",4
"804","BG_17_35",3
"805","BG_17_36",3
"806","BG_17_37",4
"807","BG_17_38",4
"808","BG_17_39",3
"809","BG_17_4",4
"810","BG_17_41",4
"811","BG_17_42",4
"812","BG_17_43",2
"813","BG_17_44",2
"814","BG_17_45",4
"815","BG_17_46",4
