"","SS","DecidR","Decid1","Decid2","Decid3","Decid4","Decid5","Decid6","Decid7","Decid8","Decid9","MixedwoodR","Mixedwood1","Mixedwood2","Mixedwood3","Mixedwood4","Mixedwood5","Mixedwood6","Mixedwood7","Mixedwood8","Mixedwood9","PineR","Pine1","Pine2","Pine3","Pine4","Pine5","Pine6","Pine7","Pine8","Pine9","SpruceR","Spruce1","Spruce2","Spruce3","Spruce4","Spruce5","Spruce6","Spruce7","Spruce8","Spruce9","TreedBogR","TreedBog1","TreedBog2","TreedBog3","TreedBog4","TreedBog5","TreedBog6","TreedBog7","TreedBog8","TreedBog9","TreedFenR","TreedFen1","TreedFen2","TreedFen3","TreedFen4","TreedFen5","TreedFen6","TreedFen7","TreedFen8","TreedFen9","TreedSwampR","TreedSwamp1","TreedSwamp2","TreedSwamp3","TreedSwamp4","TreedSwamp5","TreedSwamp6","TreedSwamp7","TreedSwamp8","TreedSwamp9","GrassHerb","Shrub","GraminoidFen","Marsh","ShrubbyBog","ShrubbyFen","ShrubbySwamp","Bare","SnowIce","Water","UrbanIndustrial","UrbanResidence","RuralResidentialIndustrial","IndustrialSiteRural","WindGenerationFacility","OtherDisturbedVegetation","MineSite","PeatMine","WellSite","Pipeline","TransmissionLine","SeismicLineNarrow","SeismicLineWide","RoadHardSurface","RailHardSurface","RoadTrailVegetated","RoadVegetatedVerge","RailVegetatedVerge","CultivationCrop","CultivationAbandoned","CultivationRoughPasture","CultivationTamePasture","HighDensityLivestockOperation","BorrowpitsDugoutsSumps","MunicipalWaterSewage","Reservoirs","Canals","CCDecidR","CCDecid1","CCDecid2","CCDecid3","CCDecid4","CCMixedwoodR","CCMixedwood1","CCMixedwood2","CCMixedwood3","CCMixedwood4","CCPineR","CCPine1","CCPine2","CCPine3","CCPine4","CCSpruceR","CCSpruce1","CCSpruce2","CCSpruce3","CCSpruce4"
"BG_10_27","BG_10_27",0,0,0,17805.0622223827,53746.6230748864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139663.89424458,0,135005.210067903,0,0,0,0,0,0,0,0,8754.76527655067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024.39658544256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_28","BG_10_28",0,0,0,95206.0169447215,12373.7514156133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888.70065577666,0,0,24819.4255345913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106508.176228464,0,0,0,0,0,0,0,0,0,0,77147.8163074794,38296.7495930028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3759.38142211864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_29","BG_10_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39592.7979970307,12611.0500760681,0,0,10561.0494782438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6703.84969158457,0,0,0,0,0,0,0,0,0,0,218692.729524101,32237.8647348695,0,0,38998.1350064709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.582438254231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_3","BG_10_3",0,0,0,153210.989944877,26178.7496751376,0,0,0,0,0,0,0,0,0,0,0,0,122431.205392576,0,0,0,0,0,10327.1495784174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27981.6955355579,0,0,0,0,0,0,0,0,10608.8927758604,0,0,0,0,0,1574.30305596646,0,0,0,0,0,0,0,0,0,0,0,0,6554.37402384136,0,0,1132.73870237118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_30","BG_10_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28625.5461000124,0,0,0,0,23236.8090615233,4277.05678887417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244418.043705067,55169.2380664604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808.76481734047,0,0,464.595256453734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_31","BG_10_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21304.7434991341,125310.808231455,0,0,0,0,0,0,0,0,0,0,0,0,131099.178591293,73726.3400708381,0,0,0,0,0,520.089234237063,0,0,0,0,0,0,0,0,0,0,0,0,3410.2930404315,0,0,4628.66568753476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_32","BG_10_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30174.6348100833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91588.9414817785,0,0,0,0,0,0,0,0,0,0,0,0,221104.195264381,5964.32826081303,5097.52563816282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638.91672022144,0,0,2431.3951934824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_33","BG_10_33",0,0,0,0,0,0,0,19277.5796392333,0,0,0,0,0,0,0,0,0,43250.0754762109,0,0,0,0,0,413.723644786495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39427.8057118231,0,0,0,28907.4154203541,0,0,0,0,0,0,0,0,193084.584713882,25825.0682225199,4583.04962908305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2671.82418003933,0,0,2558.79364187443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_34","BG_10_34",0,0,0,0,0,0,0,1422.30321385122,0,0,0,0,0,0,0,0,0,1727.32659019836,0,0,0,0,0,3210.24091016913,0,0,0,1233.41806368932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10328.7115027339,0,0,0,0,0,0,47923.3282408116,0,0,0,0,0,0,0,0,254798.039335606,35464.5350902118,899.998279555592,0,0,0,0,481.280441401469,0,0,0,0,0,0,0,0,0,0,0,0,2081.08215513738,0,0,429.789077659784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_35","BG_10_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23032.8559034925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106293.466812832,0,0,71020.6578786009,0,0,0,0,0,0,0,0,0,0,0,0,56500.3775358808,18841.5030603918,0,0,0,0,0,84311.148209753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_36","BG_10_36",0,0,0,0,1994.22657993914,115.277697465665,0,0,0,0,0,0,0,0,0,0,0,2409.44675602855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546.00338499902,0,0,0,0,0,0,0,0,0,456.920367232268,0,0,60022.4932226359,0,0,0,0,0,0,0,0,0,0,0,0,173854.344054793,29556.2661667286,0,15885.9651170706,0,0,0,65836.7307912928,0,0,0,0,0,0,0,0,0,0,0,0,6786.44517774807,0,0,1535.9468171754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_37","BG_10_37",0,0,0,63425.4057836752,64881.811757119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17181.6873804879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94778.812400982,0,0,0,0,0,0,0,0,0,0,0,0,22694.0488493811,0,0,49516.2337777358,47087.8026625004,0,0,434.226355088499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_38","BG_10_38",0,0,0,36391.3554132115,62546.3884671612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108658.395907728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721863866692262,0,0,94466.9070892991,0,0,0,0,0,0,0,0,0,0,0,0,4.81791686875906,0,86.6872836373616,13897.1469945164,40926.0188191464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806.11813819418,0,0,1215.51585452075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_39","BG_10_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55768.1713372874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26125.4532921386,96974.436665097,0,0,58064.8348491562,0,0,0,0,0,0,0,0,0,0,0,0,18205.1545083319,2980.47367936856,9209.50745575601,3130.96174666968,0,0,0,83646.0949062339,0,0,0,0,0,0,0,0,0,0,0,0,3556.7061735233,0,0,2338.35124721226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
